city,location,price,bedrooms,baths,size,title,page_url,date_added,property_type,latitude,longitude,number_of_photos,province,agency,purpose
Rawalpindi,"Bahria Town Phase 4, Bahria Town Rawalpindi",89000000,5,6,4500,Spacious 1 Kanal Elegant House At Very Reasonable Price,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_4_spacious_1_kanal_elegant_house_at_very_reasonable_price-46934841-3041-1.html,Added: 12 hours ago,Houses_Property,33.549693,73.130536,23,Punjab,Onyx Homes,Buy
Rawalpindi,"Bahria Town Phase 8, Bahria Town Rawalpindi",31000000,5,6,2452,Spacious 1 Kanal Elegant House At Very Reasonable Price,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_low_price_house_for_sale_near_to_zoo_and_future_world_school-45073190-3048-1.html,Added: 12 hours ago,Houses_Property,33.485576,73.08393,15,Punjab,Onyx Homes,Buy
Rawalpindi,"Bahria Greens - Overseas Enclave, Bahria Town Phase 8",46500000,5,6,2925,Spacious 1 Kanal Elegant House At Very Reasonable Price,https://www.zameen.com/Property/bahria_town_phase_8_bahria_greens_-_overseas_enclave_13_marla_back_open_house_with_beautiful_lawn-44135737-3081-1.html,Added: 12 hours ago,Houses_Property,33.505618,73.078866,37,Punjab,Onyx Homes,Buy
Rawalpindi,"Bahria Town Phase 2, Bahria Town Rawalpindi",69500000,6,6,4500,Spacious 1 Kanal Elegant House At Very Reasonable Price,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_2_1_kanal_used_house_for_sale_in_bahria_town_phase_2-47374487-3035-1.html,Added: 1 day ago,Houses_Property,33.55892,73.118649,34,Punjab,Euro Estate,Buy
Rawalpindi,"Bahria Town Phase 2, Bahria Town Rawalpindi",90000000,9,6,4500,Spacious 1 Kanal Elegant House At Very Reasonable Price,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_2_1_kanal_used_triple_storey_house_available_for_sale-46606810-3035-1.html,Added: 1 day ago,Houses_Property,33.55892,73.118649,20,Punjab,Euro Estate,Buy
Rawalpindi,"Bahria Town Phase 8, Bahria Town Rawalpindi",35000000,4,5,1575,Spacious 1 Kanal Elegant House At Very Reasonable Price,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_7m_luxurious_designer_house_for_sale_bahria_town_phase_8_rwp-47012318-3048-1.html,Added: 1 hour ago,Houses_Property,33.485576,73.08393,26,Punjab,MMB Real Estate & Builders,Buy
Rawalpindi,"Snober City - Green Villas, Snober City",12900000,4,4,1125,Spacious 1 Kanal Elegant House At Very Reasonable Price,https://www.zameen.com/Property/snober_city_snober_city_-_green_villas_prime_location_5_marla_house_for_sale_in_adiala_road-47266764-16235-1.html,Added: 2 hours ago,Houses_Property,33.520738859999994,73.05404407,25,Punjab,Adeel Real Estate & Builders,Buy
Rawalpindi,"Snober City, Adiala Road",12800000,4,4,900,Spacious 1 Kanal Elegant House At Very Reasonable Price,https://www.zameen.com/Property/adiala_road_snober_city_looking_for_a_house_in_snober_city-47470282-11748-1.html,Added: 2 hours ago,Houses_Property,33.523393,73.047551,11,Punjab,Adeel Real Estate & Builders,Buy
Rawalpindi,"Bahria Town Phase 7, Bahria Town Rawalpindi",49500000,5,6,2700,Spacious 1 Kanal Elegant House At Very Reasonable Price,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_7_bahria_phase_7_prime_location_house_available-47698721-3047-1.html,Added: 2 hours ago,Houses_Property,33.531951,73.115215,24,Punjab,Investrust Real Estate Solutions,Buy
Rawalpindi,"Bahria Town Phase 8 - Safari Valley, Bahria Town Phase 8",34000000,5,5,1575,Spacious 1 Kanal Elegant House At Very Reasonable Price,https://www.zameen.com/Property/bahria_town_phase_8_bahria_town_phase_8_-_safari_valley_7_marla_fully_designer_house-47087640-3074-1.html,Added: 6 hours ago,Houses_Property,33.498497,73.101182,27,Punjab,A and H Estate and Builders,Buy
Rawalpindi,"Bahria Town Phase 4, Bahria Town Rawalpindi",74000000,5,6,3150,Spacious 1 Kanal Elegant House At Very Reasonable Price,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_4_classical_design_14_marla_corner_house_with_10kv_solar_panel-47378699-3041-1.html,Added: 2 hours ago,Houses_Property,33.549693,73.130536,24,Punjab,Onyx Homes,Buy
Rawalpindi,"Bahria Town - Civic Centre, Bahria Town Phase 4",7400000,1,1,472,Spacious 1 Kanal Elegant House At Very Reasonable Price,https://www.zameen.com/Property/bahria_town_phase_4_bahria_town_-_civic_centre_one_bed_furnished_apartment_for_sale-47697512-8974-1.html,Added: 3 hours ago,Flats_Apartments,33.550096,73.123815,5,Punjab,Rehaish Marketing,Buy
Rawalpindi,"Airport Housing Society, Rawalpindi",15000000,3,4,1350,Spacious 1 Kanal Elegant House At Very Reasonable Price,https://www.zameen.com/Property/rawalpindi_airport_housing_society_1_5_storey_6_marla_house_for_sale-47699366-426-1.html,Added: 19 minutes ago,Houses_Property,33.590885,73.133533,19,Punjab,AR Real Estate & Builders,Buy
Rawalpindi,"Bahria Town Phase 2, Bahria Town Rawalpindi",75000000,7,6,4500,Spacious 1 Kanal Elegant House At Very Reasonable Price,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_2_kanal_house_available_for_sale_in_prime_location_of_bharia_town_phase_2_slitly_use_house-47699283-3035-1.html,Added: 29 minutes ago,Houses_Property,33.55892,73.118649,15,Punjab,Mughal Estate & Builders,Buy
