city,location,price,bedrooms,baths,size,title,page_url,date_added,property_type,latitude,longitude,number_of_photos,province,agency,purpose
Multan,"Buch Executive Villas, Multan",13000000,3,4,922,4.1 Marla House Available For Sale Hamid Block,https://www.zameen.com/Property/multan_buch_executive_villas_4_1_marla_house_available_for_sale_hamid_block-47483248-8627-1.html,Added: 21 hours ago,Houses_Property,30.286812,71.489983,15,Punjab,Hamid Homes,Buy
Multan,"DHA Phase 1, DHA Defence",22500000,0,0,1800,4.1 Marla House Available For Sale Hamid Block,https://www.zameen.com/Property/dha_defence_dha_phase_1_08_marla_luxury_double_storey_house_available_for_sale_dha_multan_sector_v-46032127-15631-1.html,Added: 1 day ago,Houses_Property,30.289605,71.52194,6,Punjab,Reliance Associates,Buy
Multan,"Royal Orchard, Multan Public School Road",33000000,5,6,2250,4.1 Marla House Available For Sale Hamid Block,https://www.zameen.com/Property/multan_public_school_road_royal_orchard_10_marla_brand_new_beautiful_house_available_for_sale-47638308-9492-1.html,Added: 5 days ago,Houses_Property,30.25617,71.560725,47,Punjab,Jinnah Associates,Buy
Multan,"Bahadurpur, Multan",14000000,5,5,1350,4.1 Marla House Available For Sale Hamid Block,https://www.zameen.com/Property/multan_bahadurpur_6_marla_spanish_beautiful_double_storey_house_available_for_sale-47629278-8620-1.html,Added: 5 days ago,Houses_Property,30.257834,71.496449,21,Punjab,Estate Agency,Buy
Multan,"Shalimar Colony, Multan",9500000,3,4,900,4.1 Marla House Available For Sale Hamid Block,https://www.zameen.com/Property/multan_shalimar_colony_4_marla_house_for_sale_in_shalimar_multan-47598076-346-1.html,Added: 1 week ago,Houses_Property,30.241087,71.489875,18,Punjab,PROPERTY POINT,Buy
Multan,"Buch Executive Villas - Phase 2, Buch Executive Villas",35000000,5,6,2250,4.1 Marla House Available For Sale Hamid Block,https://www.zameen.com/Property/buch_executive_villas_buch_executive_villas_-_phase_2_10_marla_brand_new_luxury_house_available_for_sale_in_buch_executive_villas_phase_2_multan-47672691-19720-1.html,Added: 3 days ago,Houses_Property,30.29016,71.489037,30,Punjab,excutivebuilders165@gmail. com,Buy
Multan,"DHA Phase 1 - Sector M, DHA Phase 1",55000000,5,6,4500,4.1 Marla House Available For Sale Hamid Block,https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_sector_m_on_excellent_location_1_kanal_house_for_sale_in_beautiful_dha_phase_1_-_sector_m-45812817-14312-1.html,Added: 3 days ago,Houses_Property,30.292718,71.528724,30,Punjab,Meezan Real Estate,Buy
Multan,"Usman-e-Ghani Road, Multan",8500000,0,0,1125,4.1 Marla House Available For Sale Hamid Block,https://www.zameen.com/Property/multan_usman-e-ghani_road_double_storey_5_marla_house_for_sale_in_usman-e-ghani_road-47654687-10243-1.html,Added: 4 days ago,Houses_Property,30.207613,71.527357,29,Punjab,Dost Property Marketing & Builders,Buy
Multan,"DHA Villas, DHA Defence",15000000,3,4,1350,4.1 Marla House Available For Sale Hamid Block,https://www.zameen.com/Property/dha_defence_dha_villas_6_marla_brand_new_ideal_location_villa_for_sale-47382080-14018-1.html,Added: 5 days ago,Houses_Property,30.289476,71.522677,11,Punjab,Defence Builders,Buy
Multan,"Citi Housing, Multan",11000000,3,4,1125,4.1 Marla House Available For Sale Hamid Block,https://www.zameen.com/Property/multan_citi_housing_prime_location-45985722-12544-1.html,Added: 1 week ago,Houses_Property,30.3243882,71.5179156,23,Punjab,Admire Estates,Buy
